
data;
set ORIG := 	O201101	O201102	O201103	O201104	O201105	O201106	O201107	O201108	
O201109	O201110	O201111	O201112	O201113	O201114	O201115	O201116	O201117	O201118	
O201119	O201120	O201121	O201122	O201123	O201124	O201125	O201126	O201127	O201128	
O201129	O201130	O201131	O201132	O201133	O201134	O201135;
set DEST := 
D201701
D201702
D201703
D201704
D201705
D201706
D201707
D201708
D201709
D201710
D201711
D201712
D201713
D201714
D201715
D201716
D201717
D201718
D201719
D201720
D201721
D201722
D201723
D201724
D201725
D201726
D201727
D201728
D201729
D201730
D201731
D201732
D201733
D201734
D201735
D201736
D201737
D201738
D201739
D201740
D201741
D201742
D201743
D201744
D201745
D201746
D201747
D201748
D201749
D201750
D201751
D201752
D201753
D201754
D201755
D201756
D201757
D201758
D201759
D201760
D201761	;
param cost:
	
	O201101	O201102	O201103	O201104	O201105	O201106	O201107	O201108	O201109	O201110	O201111	O201112	O201113	O201114	O201115	O201116	O201117	O201118	O201119	O201120	O201121	O201122	O201123	O201124	O201125	O201126	O201127	O201128	O201129	O201130	O201131	O201132	O201133	O201134	O201135:=
D201701	983842085	136382186	139638634	696868705	123441925	123441925	62700889	556628938	574092104	807465850	1502053229	1031571920	1078353565	1154437220	1039299210	744237698	2297247194	556241309	556241309	530730792	1006046009	990816946	776141000	776141000	826845266	1310895301	716933858	716933858	936516740	748794920	473754980	1673883026	145979972	1179923264	1179923264
D201702	1087115849	32849284	55697552	791616125	326302169	326302169	8277725	642465512	805213186	984245960	1694728625	1189782250	1187882477	1026715850	1189977748	850632484	2532219380	905061733	905061733	672573418	1244032345	1346540840	1209379706	1209379706	1061677124	1295178669	828737044	828737044	1154076218	840366250	734088610	1692354308	343147298	998035202	998035202
D201703	1111072	935990325	776272225	36019912	1473666592	1473666592	970436168	77627789	199902321	49467301	65897728	14753821	428948	230219321	10939625	26933605	279446233	616691578	616691578	105479537	89721028	342535301	869488001	869488001	113907865	73243930	33348285	33348285	71508805	25400457	339478893	103592645	640326077	354484925	354484925
D201704	12894965	709404116	571423624	2277145	1141604005	1141604005	724087849	18516688	113236514	22633360	135159389	26713130	25355905	253454930	25205220	302948	428663204	457441049	457441049	33828282	80378669	284547616	698251370	698251370	75606596	131894881	1406708	1406708	56547650	919610	215821850	207109796	431756762	368181554	368181554
D201705	13114538	1110047921	935397913	72473650	1635915898	1635915898	1144022650	128578789	234074873	65264413	30527450	15139373	4577626	285006173	11758077	57402665	195400925	662288996	662288996	150917265	83965250	336280645	903332945	903332945	123228341	86894356	65325665	65325665	72837137	57910745	385932257	87735449	742302065	425388773	425388773
D201706	254219144	493427369	396691357	136896400	474498664	474498664	428774400	96278697	32354621	122965825	462033800	234121465	295112772	667383565	242998093	145142089	925853405	124348498	124348498	45714253	185488420	196334865	282882301	282882301	111424109	562948754	129794849	129794849	160601513	160317125	25644545	727199113	72113233	792502057	792502057
D201707	254219144	493427369	396691357	136896400	474498664	474498664	428774400	96278697	32354621	122965825	462033800	234121465	295112772	667383565	242998093	145142089	925853405	124348498	124348498	45714253	185488420	196334865	282882301	282882301	111424109	562948754	129794849	129794849	160601513	160317125	25644545	727199113	72113233	792502057	792502057
D201708	38191972	1260819013	1074771009	124277940	1877255172	1877255172	1311033940	194910421	329797165	120104541	28769140	44936321	22272520	282882821	39501601	105937781	149103985	812155034	812155034	229736317	133625120	425639965	1067847629	1067847629	190088113	73235498	117541021	117541021	124093801	103846405	506545009	50002325	908611937	424264529	424264529
D201709	38191972	1260819013	1074771009	124277940	1877255172	1877255172	1311033940	194910421	329797165	120104541	28769140	44936321	22272520	282882821	39501601	105937781	149103985	812155034	812155034	229736317	133625120	425639965	1067847629	1067847629	190088113	73235498	117541021	117541021	124093801	103846405	506545009	50002325	908611937	424264529	424264529
D201710	383633325	628424794	533529058	366707713	1888088845	1888088845	776722601	368692250	848027908	596480410	716894181	539231540	407710157	23836840	517481666	392352194	1092019986	1521161225	1521161225	532931972	806219441	1331156930	1984065988	1984065988	803293434	179243489	409252114	409252114	731586816	353954548	1038798736	327249586	1120938832	2001508	2001508
D201711	9963377	1079408072	907234804	62802877	1576802977	1576802977	1108388125	115445668	210829226	53273620	32384105	9762890	3153109	293051090	7038288	48327560	207587600	623267345	623267345	133596450	72104825	312254644	859042610	859042610	107127872	95691817	55227560	55227560	60966218	49767602	355907954	101901032	702055250	434214674	434214674
D201712	698744869	28519730	16778090	494852201	726476549	726476549	74845489	394294546	701176244	721177010	1237060669	833424820	775301941	477862920	824284970	545638906	1929775354	1024476265	1024476265	484036148	979918249	1255087738	1404001332	1404001332	857170690	737182625	538204586	538204586	889846480	522070916	725789312	1059280938	477842688	437497380	437497380
D201713	49228189	1306364930	1117204202	143355713	1956706109	1956706109	1362543785	218274290	365073860	141743186	33335605	58512836	31164893	280977736	52297786	124242410	140827210	866401457	866401457	258048100	154887185	461435066	1128269860	1128269860	216571570	70009705	137083610	137083610	145440976	121058228	550048160	40059226	964900000	421591252	421591252
D201714	49228189	1306364930	1117204202	143355713	1956706109	1956706109	1362543785	218274290	365073860	141743186	33335605	58512836	31164893	280977736	52297786	124242410	140827210	866401457	866401457	258048100	154887185	461435066	1128269860	1128269860	216571570	70009705	137083610	137083610	145440976	121058228	550048160	40059226	964900000	421591252	421591252
D201715	36126340	628402169	499866461	3041636	981601220	981601220	628969780	7105921	75796577	20135849	180257620	45494389	54759760	301601889	45782645	3724825	510960805	373332658	373332658	11407265	81726280	251407897	601067025	601067025	62475829	188812034	1678625	1678625	56723365	6660521	157140893	284037273	335077965	415949301	415949301
D201716	36126340	628402169	499866461	3041636	981601220	981601220	628969780	7105921	75796577	20135849	180257620	45494389	54759760	301601889	45782645	3724825	510960805	373332658	373332658	11407265	81726280	251407897	601067025	601067025	62475829	188812034	1678625	1678625	56723365	6660521	157140893	284037273	335077965	415949301	415949301
D201717	16423940	692049529	555964253	1428068	1110005060	1110005060	704168756	15280385	105458593	21433385	143226836	29568565	30101072	261016865	28382581	8089	444075941	441032050	441032050	28652257	80132296	278028185	679599953	679599953	72546869	141537474	520609	520609	56004581	1022953	204032221	220742681	412395917	375484853	375484853
D201718	560107234	69085069	40946085	388100898	816276114	816276114	125262154	305625193	620439865	603487089	1052225314	690516389	627172450	348818189	680362897	433127045	1686876049	984658256	984658256	399741121	845600834	1145257657	1366030913	1366030913	742964329	575372624	428928685	428928685	760928137	409203673	668230777	864099125	483326441	319090925	319090925
D201719	740355912	55658425	45475453	543799360	876970792	876970792	122390672	445972985	806356165	795340465	1295053992	892912145	816032276	441599845	880803629	596803961	1983794877	1184168186	1184168186	556765205	1070154692	1394528993	1593886213	1593886213	952813485	729575450	592313521	592313521	974670129	567924205	848715625	1052852857	599038585	385689793	385689793
D201720	715871453	55250386	42831098	522191585	865097213	865097213	120295625	426199394	779960548	768807938	1262566325	865364548	790506461	429351848	853553002	574173370	1944736250	1155060481	1155060481	534540100	1039296625	1359693290	1560718340	1560718340	923659106	709232121	569662570	569662570	945244112	546004180	822648352	1028241194	580964000	376956308	376956308
D201721	782045357	47307650	41707018	576736465	856818637	856818637	111613177	473925010	832920740	831704050	1349836997	936062180	860347021	479431880	924190074	631376426	2054659082	1200190721	1200190721	583822980	1111386497	1429705498	1609856708	1609856708	988537010	776954425	626031386	626031386	1014318224	602514260	869108000	1109527322	601878560	420326708	420326708
D201722	1064489	944855074	784261202	35006525	1452188009	1452188009	974330645	76434122	185159956	41643530	60295745	9980020	334577	250505120	6901018	25182394	273187850	589094533	589094533	98991268	77276965	318127970	834168836	834168836	100653314	85202109	30932554	30932554	60614888	25006900	320836840	114281738	623953448	379081652	379081652
D201723	44170969	538851784	419693220	12621573	1108059849	1108059849	574486789	14831668	182451370	82076004	237588049	89297354	64832365	157393154	84320272	19784360	583392784	567959561	567959561	57568066	180812369	434763172	852550418	852550418	164016544	112048289	22088200	22088200	143378362	12729298	288584962	222557000	438597986	237941810	237941810
D201724	765060112	28250333	22698089	553412360	760492112	760492112	79670600	447866981	774157745	793849181	1325765200	908566061	844463780	508777561	898543201	607063181	2036476945	1106128034	1106128034	544821457	1064850980	1352056445	1497495649	1497495649	937534033	791011618	599750021	599750021	970718101	581422025	798259709	1124883565	528276877	458395309	458395309
D201725	620966356	58410893	36883961	439049540	822148916	822148916	116683268	350547629	677588117	665719925	1135122148	758064425	691352168	383928925	747448297	486873437	1790487673	1041910010	1041910010	449002501	918658688	1223091797	1431171349	1431171349	809993113	630956938	482294597	482294597	830415937	461573645	721704425	932573629	512590681	345780121	345780121
D201726	340640882	2316935993	2061228049	531312490	2761215682	2761215682	2345438290	665508301	672512345	408666661	99247490	277211741	289707730	855293741	276599061	483525521	1184885	1154770004	1154770004	654986097	308388170	550957165	1327867889	1327867889	428493293	430384228	499192361	499192361	336385361	495844505	888311489	271315265	1545504017	1085152469	1085152469
D201727	340640882	2316935993	2061228049	531312490	2761215682	2761215682	2345438290	665508301	672512345	408666661	99247490	277211741	289707730	855293741	276599061	483525521	1184885	1154770004	1154770004	654986097	308388170	550957165	1327867889	1327867889	428493293	430384228	499192361	499192361	336385361	495844505	888311489	271315265	1545504017	1085152469	1085152469
D201728	17249229	990072340	826489960	42321121	1325058109	1325058109	991118129	80742176	114078634	12726400	51079509	645410	17314361	377430010	1722260	29081636	266833044	442764185	442764185	73696418	24805589	197140688	645168082	645168082	41483700	169984385	30816916	30816916	16066170	36411586	225727762	195804388	534298258	528527050	528527050
D201729	2276819317	331737650	436677650	1847368577	695916437	695916437	310724153	1618717634	1876169576	2154659666	3145424413	2444150336	2420688653	1977716836	2441826850	1939362890	4250087218	1915855973	1915855973	1680109672	2533595513	2641183946	2286163336	2286163336	2268686890	2473495405	1909322570	1909322570	2404470580	1917632072	1738433108	3032805850	1042436212	1859770000	1859770000
D201730	11395105	925241096	767130020	29135741	1284656465	1284656465	929810557	62943460	110946482	10905908	64466617	1791298	14058421	343815498	2228288	18351400	296564992	444615385	444615385	61288298	33157897	213766900	656093754	656093754	45460816	155453201	20044520	20044520	21053458	24094106	221227994	191772360	510123258	486725130	486725130
D201731	697858418	243341557	212578805	562641290	1389750818	1389750818	366329506	496660561	978576493	850172585	1219234466	880982145	757955194	252869545	861298241	611851005	1815578561	1527846372	1527846372	657088469	1133921826	1595005729	2002336117	2002336117	1056870857	552248212	618108565	618108565	1035137501	571532125	1091051965	829542925	929262349	180423625	180423625
D201732	592042210	582848317	511554933	545241762	1969523730	1969523730	749951626	528076729	1079845705	828124353	1010332066	780788213	627026050	99492413	755760385	581759477	1454363521	1784340752	1784340752	719196433	1084195106	1653529033	2291520785	2291520785	1063631257	341535632	599026717	599026717	994218745	535611817	1268086441	534496805	1266070553	39883133	39883133
D201733	760241981	693348050	623875426	556937641	185434141	185434141	544449793	472105330	222470600	484318402	1006739813	691693472	822586885	1402179572	712001538	569449994	1597286738	60726653	60726653	346009320	528404273	334674394	119623112	119623112	397632170	1271006725	538383434	538383434	510120068	602213576	113788100	1497081050	41885540	1555822736	1555822736
D201734	15340868	1014912841	848909357	46290884	1371618308	1371618308	1019821972	87884017	128515105	17809625	43703252	78165	13803280	368252065	659429	32389353	249812117	469833570	469833570	83906849	29069352	210836041	675937681	675937681	49542821	158851186	34969393	34969393	20574149	39063529	245838013	179518825	564197869	519279637	519279637
D201735	24287042	1016957345	852255625	82346362	1735822162	1735822162	1082106178	135227269	330351281	123856861	90600338	59312981	18405298	156392981	51211485	73677785	274176893	835397828	835397828	192277737	177872138	505031941	1128182441	1128182441	217672085	22618900	85297265	85297265	154939865	65096657	502872233	40237385	828413177	265023725	265023725
D201736	383515780	2429664329	2167674221	591247556	2952629060	2952629060	2471912980	734450161	769843457	475706969	130025620	326613109	328113040	865884609	324180005	542034025	5282005	1295064898	1295064898	735633665	375829480	651857737	1483059825	1483059825	507058789	440355794	560459825	560459825	403605925	551719241	1003843613	267570153	1687180365	1093028661	1093028661
D201737	23568577	617784122	489364154	3226277	1130786177	1130786177	644978525	12729218	149228276	50638370	183024505	54819140	40038809	192709840	51280738	6039410	502263250	519525845	519525845	43850500	130473725	364440794	785233060	785233060	120234922	112099117	8037410	8037410	99304168	2291252	255362504	205066882	438185800	288803524	288803524
D201738	281155489	230800194	161196130	139217653	478011169	478011169	207790829	80762138	151010820	209023834	597965689	315554884	332914265	469501184	317787482	161529850	1132088074	333853981	333853981	81239156	338404909	448639442	571778708	571778708	250931554	488624149	149655690	149655690	291282472	162780228	160110792	702682250	113837576	537560420	537560420
D201739	649319897	59309288	40350484	464882965	845889097	845889097	121131765	374610996	713355890	699035716	1173572465	791255746	720766845	392414746	780066976	514007656	1835766560	1085205409	1085205409	477503242	958036945	1270931940	1481424154	1481424154	847967888	650669273	509697896	509697896	867779426	487487930	758602634	957037000	540632362	349131754	349131754
D201740	121442098	599768417	481284425	52234250	718063298	718063298	560170706	38098661	15174113	37376765	274720066	105493925	148744994	504096325	111304381	53777945	656196061	194245412	194245412	5394649	85987226	158259749	372289177	372289177	42707317	370552372	44549105	44549105	65508841	65478785	50411705	489421705	182888329	635160445	635160445
D201741	2167098205	355268880	447356740	1733481193	397923565	397923565	281947577	1506486452	1617556698	1964199652	2965768117	2281944682	2308542665	2091979082	2287447400	1816262464	4051621192	1525054141	1525054141	1510930466	2289341437	2271182324	1811394770	1811394770	2019613000	2490238645	1779613344	1779613344	2178228850	1809288018	1441876554	3028998272	783304106	2023246850	2023246850
D201742	51026996	509254973	393346441	9378340	1022030356	1022030356	535157028	6382269	152651237	72187525	249229508	90631225	74219688	190403725	86972377	17073997	610003433	508759450	508759450	40426261	168936448	399248037	781913509	781913509	145486793	142242218	17551157	17551157	132218417	12038045	246918425	260091949	382882441	274141801	274141801
D201743	2215121	967823018	805185250	38027629	1455306961	1455306961	994194805	80805922	179508944	38394322	53254265	7052552	663937	268471652	4469274	27146450	260835530	576690809	576690809	99551520	69013805	302458138	815831840	815831840	93411698	93900673	32640050	32640050	54019124	28011584	314025956	119225090	624135620	401323880	401323880
