X,Case,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_TIME,CASE_STATUS_DESC,UCR,UCR_EXT_CODE,OFFENSE_DESC,Bias.Type,LOC_CODE,Location_Description,DeIdentifiedLocation,X_COORDINATE,Y_COORDINATE
2017-1,201727126,2017,1,11,1200,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,5309,5309-0,HARASSMENT,ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,20,RESIDENCE/HOME                                                                 ,7100 BLOCK E MISSISSIPPI AVE,3167163,1678018
2017-2,201766353,2017,1,30,1231,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1109,1109-0,SEX ASLT - NON-RAPE,ANTI-MENTAL DISABILITY,20,RESIDENCE/HOME                                                                 ,2200 BLOCK S JASMINE ST,3163262,1671541
2017-3,201766746,2017,1,30,1300,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1316,1316-0,THREATS TO INJURE,ANTI-ISLAMIC,21,RESTAURANT                                                                     ,1100 BLOCK 14TH ST,3141038,1697180
2017-4,201783169,2017,2,6,1000,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1316,1316-0,THREATS TO INJURE,ANTI-ISLAMIC,21,RESTAURANT                                                                     ,1500 BLOCK N GRANT ST,3145128,1694983
2017-5,2017105275,2017,2,15,815,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,WEWATTA ST / 16TH ST,3139821,1699633
2017-6,2017105234,2017,2,15,800,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-0,AGGRAVATED ASSAULT,ANTI-BLACK,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E 13TH AVE / N ALBION ST,3157632,1693626
2017-7,2017105234,2017,2,15,800,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-BLACK,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E 13TH AVE / N ALBION ST,3157632,1693626
2017-8,2017111468,2017,2,17,1618,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-HISPANIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,I25 HWYSB / N SPEER BLVD,3137010,1700390
2017-9,2017111468,2017,2,17,1618,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1316,1316-0,THREATS TO INJURE,ANTI-HISPANIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,I25 HWYSB / N SPEER BLVD,3137010,1700390
2017-10,2017125977,2017,2,23,1745,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1210,1210-0,ROBBERY - PURSE SNATCH W/FORCE,ANTI-BLACK,1,AIR/BUS/TRAIN TERMINAL                                                         ,S FEDERAL BLVD / W MISSISSIPPI AVE,3133645,1679018
2017-11,2017195452,2017,3,25,910,INACTIVE,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-TRANSGENDER,1,AIR/BUS/TRAIN TERMINAL                                                         ,1700 BLOCK WYNKOOP ST,3140598,1699567
2017-12,2017306535,2017,4,1,1330,INACTIVE,1316,1316-0,THREATS TO INJURE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),20,RESIDENCE/HOME                                                                 ,2300 BLOCK E EVANS AVE,3152281,1672386
2017-13,2017213146,2017,4,2,443,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-BLACK,14,HOTEL/MOTEL/ETC.                                                               ,2600 BLOCK N ZUNI ST,3136069,1700494
2017-14,2017213146,2017,4,2,443,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5312,5312-0,DISTURBING THE PEACE,ANTI-BLACK,14,HOTEL/MOTEL/ETC.                                                               ,2600 BLOCK N ZUNI ST,3136069,1700494
2017-15,2017263443,2017,4,22,2100,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,2999,2999-0,CRIMINAL MISCHIEF - OTHER,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,1400 BLOCK N OGDEN ST,3147532,1694400
2017-16,2017263443,2017,4,22,2100,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5312,5312-0,DISTURBING THE PEACE,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,1400 BLOCK N OGDEN ST,3147532,1694400
2017-17,2017266194,2017,4,24,1245,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,N LOGAN ST / E COLFAX AVE,3145580,1694848
2017-18,2017284389,2017,5,1,2130,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,20,RESIDENCE/HOME                                                                 ,1800 BLOCK S GILPIN ST,3149769,1674383
2017-19,2017284171,2017,5,1,1800,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,2300 BLOCK S WILLIAMS ST,3150100,1670762
2017-20,20176003880,2017,5,2,1640,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,20,RESIDENCE/HOME                                                                 ,2200 BLOCK S WILLIAMS ST,3150101,1671238
2017-21,20176003863,2017,5,2,700,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,20,RESIDENCE/HOME                                                                 ,2400 BLOCK S RACE ST,3150765,1670182
2017-22,2017287964,2017,5,2,2000,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1500 BLOCK ARAPAHOE ST,3141527,1697656
